dataset,mae_xgb,mae_rf,mae_lr,mae_lasso,mae_ridge,mae_dt,best
"['Anthropometry, Demographics, General Health']",5.402335592289155,4.997621507893515,4.738382165610958,4.700603491401107,4.738261205687372,7.173859392991636,4.700603491401107
"['Anthropometry, Clinical Data, Demographics, Medical History, Sleep Treatment']",5.126261038110837,4.794336020851439,4.830187298325169,4.700941057687319,4.818140559023097,6.177444737203812,4.700941057687319
"['Anthropometry, Clinical Data, Demographics, Medical History']",5.145596956983252,4.770697072602076,4.802203618907506,4.70094105768732,4.797003786654549,6.195004172950799,4.70094105768732
"['Anthropometry, Demographics, General Health, Lifestyle and Behavioral Health, Medical History']",5.268756922454382,4.925851940422915,4.91600473525036,4.701253968954559,4.905918290039913,6.840635903635916,4.701253968954559
"['Anthropometry, Demographics, General Health, Lifestyle and Behavioral Health, Medical History, Sleep Treatment']",5.354311966540413,4.934707352391993,4.949425425364155,4.70125396895456,4.9343858301438726,6.813094907790775,4.70125396895456
"['Anthropometry, Clinical Data, Demographics, Lifestyle and Behavioral Health, Medical History']",5.149470368890482,4.746079171800984,4.868587638725373,4.701669510693749,4.8485430898510735,6.8790110624900365,4.701669510693749
"['Anthropometry, Clinical Data, Demographics, Lifestyle and Behavioral Health, Medical History, Sleep Treatment']",5.139719832419059,4.752721440473718,4.900535686434285,4.701669510693749,4.873567503245956,6.899791404669989,4.701669510693749
"['Anthropometry, Demographics, Lifestyle and Behavioral Health, Sleep Treatment']",5.238329557171244,4.934138656091028,4.707834085743693,4.714636164479049,4.702050787677442,7.065768020297417,4.702050787677442
"['Anthropometry, Clinical Data, Demographics, Lifestyle and Behavioral Health']",5.1285618036033735,4.795562674303521,4.724251757995074,4.702286271475137,4.7176275447601945,6.633385499936039,4.702286271475137
"['Anthropometry, Clinical Data, Demographics, Lifestyle and Behavioral Health, Sleep Treatment']",5.229355991188391,4.78982495854771,4.756445414546514,4.7022862714751374,4.743771597019513,6.6333715299243545,4.7022862714751374
"['Anthropometry, Demographics, General Health, Lifestyle and Behavioral Health, Sleep Treatment']",5.241278003401254,4.976291023762316,74020895.58659096,4.702820374628879,4.787791222619734,6.534153271867897,4.702820374628879
"['Anthropometry, Demographics, General Health, Lifestyle and Behavioral Health']",5.325197778027916,4.929101277521399,73571816.15574709,4.70282037462888,4.752875139738998,6.708911561142313,4.70282037462888
"['Anthropometry, Demographics, Sleep Treatment']",5.399712901565869,5.017884260973904,4.720534637891959,4.711376955703454,4.715037804118009,6.765799726311193,4.711376955703454
"['Anthropometry, Demographics, Medical History, Sleep Treatment']",5.188055537426269,4.851835984452561,4.850469753992885,4.711657221857294,4.838850889886491,6.780715521972572,4.711657221857294
"['Anthropometry, Demographics, Medical History']",5.172768826388821,4.845170099955614,4.829458298072775,4.711657221857296,4.824089271445654,6.570859251415253,4.711657221857296
"['Anthropometry, Demographics, Lifestyle and Behavioral Health, Medical History, Sleep Treatment']",5.087263817829859,4.832168910903139,4.838064019519242,4.712079678122417,4.826905450319943,6.474374090269741,4.712079678122417
"['Anthropometry, Demographics, Lifestyle and Behavioral Health, Medical History']",5.005524639735459,4.8075306152812685,4.809585015747517,4.712079678122417,4.8047462046690965,6.283006863069865,4.712079678122417
"['Anthropometry, Lifestyle and Behavioral Health']",5.09578737926649,4.917765744698999,4.716167640189032,4.755335612548572,4.714562220548514,6.404177511092251,4.714562220548514
"['Anthropometry, Clinical Data']",5.029214500410201,4.78679186913457,4.717392023048701,4.760448944665519,4.716421985938828,6.376562961008734,4.716421985938828
"['Anthropometry, General Health, Sleep Treatment']",5.19817020116452,4.974224339991222,4.789725331250791,4.719194313860341,4.785250346565699,6.566239832049323,4.719194313860341
"['Anthropometry, General Health']",5.239056272719077,4.963107214816954,4.774654740054969,4.719194313860342,4.774306044862289,6.540391620863591,4.719194313860342
"['Anthropometry, Clinical Data, Lifestyle and Behavioral Health']",5.335199007381976,4.7796378781942055,4.730461444242269,4.758112787370095,4.723866532254156,6.7636106246902825,4.723866532254156
"['Anthropometry, Clinical Data, Sleep Treatment']",5.126822860894605,4.803263742304929,4.7299140152590775,4.760448944665519,4.725492306065608,6.373840486750062,4.725492306065608
"['Anthropometry, General Health, Lifestyle and Behavioral Health']",5.327463595173389,4.949977887576827,94459551.9792242,4.726287237034128,4.778587395990761,6.390152823312915,4.726287237034128
"['Anthropometry, General Health, Lifestyle and Behavioral Health, Sleep Treatment']",5.356113364661511,4.9507471737014574,94122981.86023384,4.7262872370341285,4.807213206331624,6.530825040304674,4.7262872370341285
"['Anthropometry, Clinical Data, General Health, Lifestyle and Behavioral Health, Medical History, Sleep Treatment']",5.194769240737198,4.848387643027217,16233.830601481826,4.729789377683575,4.997076752498051,6.9407932379526445,4.729789377683575
"['Anthropometry, Clinical Data, General Health, Lifestyle and Behavioral Health, Medical History']",5.1458800877159545,4.837265797083916,1442.622168221611,4.729789377683576,4.974175743595636,7.01764080892005,4.729789377683576
"['Anthropometry, Clinical Data, General Health, Lifestyle and Behavioral Health']",5.0613474095512405,4.851713204587059,14458.523567034252,4.732942253652187,4.775076115278219,6.620656859630259,4.732942253652187
"['Anthropometry, Clinical Data, General Health, Lifestyle and Behavioral Health, Sleep Treatment']",5.1141549302872304,4.849674266174608,25023.524173168757,4.732942253652188,4.804931317034446,6.575716464011439,4.732942253652188
"['Anthropometry, Clinical Data, General Health, Sleep Treatment']",5.002545404753908,4.889536015081862,3075.714235114668,4.735398858321445,4.7950359056655065,6.737978823623863,4.735398858321445
"['Anthropometry, Clinical Data, General Health']",5.052342105116967,4.888684301135847,2491.15679146674,4.735398858321446,4.777867559176209,6.632247727627921,4.735398858321446
"['Anthropometry, General Health, Lifestyle and Behavioral Health, Medical History, Sleep Treatment']",5.135524014003488,4.913694695479792,4.936686457805969,4.73613684243642,4.91728408103931,6.4540739536781055,4.73613684243642
"['Anthropometry, General Health, Lifestyle and Behavioral Health, Medical History']",5.09115616225923,4.8615579781410885,4.909153083810086,4.73613684243642,4.894050884769586,6.41954313175203,4.73613684243642
"['Anthropometry, Lifestyle and Behavioral Health, Sleep Treatment']",5.15266208217145,4.925024099900425,4.743124449102772,4.755335612548572,4.73645396803597,6.782818639448339,4.73645396803597
"['Anthropometry, Clinical Data, General Health, Medical History, Sleep Treatment']",5.084996053797116,4.839198653549821,1591.0444069515245,4.737821502070545,4.953017448941555,6.649310094820665,4.737821502070545
"['Anthropometry, Clinical Data, General Health, Medical History']",5.070825398478477,4.842046302974202,970.095135443593,4.737821502070546,4.947822275302344,6.525984354120172,4.737821502070546
"['Anthropometry, General Health, Medical History']",5.12903788853634,4.928592074505234,4.920218162873228,4.744366436683702,4.907478658700268,6.805347258112422,4.744366436683702
"['Anthropometry, General Health, Medical History, Sleep Treatment']",5.073497397368277,4.922030082634897,4.932632023054113,4.744366436683702,4.916778275488818,6.77994147159631,4.744366436683702
['Anthropometry'],5.2495086539680855,5.0252715436894375,4.745325055984264,4.752820588917539,4.745325290549561,6.793369289175032,4.745325055984264
"['Anthropometry, Sleep Treatment']",5.283628626985554,5.016464831908406,4.761476691559946,4.752820588917538,4.75599400195031,6.610237953285239,4.752820588917538
"['Anthropometry, Clinical Data, Lifestyle and Behavioral Health, Sleep Treatment']",5.2645261068625855,4.8044609985734175,4.776626601154635,4.758112787370095,4.762291819365139,6.6242063987166055,4.758112787370095
"['Anthropometry, Clinical Data, Lifestyle and Behavioral Health, Medical History, Sleep Treatment']",5.037742426109924,4.759013872142639,4.938796601322311,4.760851046336519,4.926090486070534,6.789098894982288,4.759013872142639
"['Anthropometry, Clinical Data, Lifestyle and Behavioral Health, Medical History']",5.027522080633285,4.767796893594565,4.908827067821012,4.760851046336519,4.903024472723935,6.788159422853259,4.760851046336519
"['Anthropometry, Lifestyle and Behavioral Health, Medical History']",5.122501914468097,4.786267935875101,4.816687474397639,4.763155568277101,4.8115723078826935,6.343872206614882,4.763155568277101
"['Anthropometry, Lifestyle and Behavioral Health, Medical History, Sleep Treatment']",5.074532566447916,4.767263118693603,4.844227198578325,4.763155568277102,4.8325172957085885,6.25753174733112,4.763155568277102
"['Anthropometry, Medical History']",5.241793419355693,4.811777203395792,4.833950178019081,4.769387825171709,4.829235660741628,6.039772875484502,4.769387825171709
"['Anthropometry, Medical History, Sleep Treatment']",5.183022364178722,4.832677851165088,4.861377045624317,4.769387825171709,4.849168650009999,6.127670799405165,4.769387825171709
"['Clinical Data, Demographics, General Health, Lifestyle and Behavioral Health']",5.512935101352505,5.226856969397232,23803.37085586786,5.050450924161247,4.944287826259038,7.06827417109668,4.944287826259038
"['Clinical Data, Demographics, General Health, Lifestyle and Behavioral Health, Sleep Treatment']",5.533316594388642,5.188302351715763,19267.07729892116,5.050450924161247,4.96061417541596,7.004637363031611,4.96061417541596
"['Clinical Data, Demographics, General Health']",5.5150341988929314,5.259935843382383,63500.00927953112,5.050425629217777,5.001611343507885,7.183313965199016,5.001611343507885
"['Clinical Data, Demographics, General Health, Sleep Treatment']",5.511863389146431,5.207432225802663,16328.935466679448,5.050425629217776,5.016832247138085,7.139833830121893,5.016832247138085
"['Demographics, General Health, Lifestyle and Behavioral Health']",5.710322751862734,5.526088958880062,5.0469068025294455,5.268276414704396,5.046289639714268,7.357749649221895,5.046289639714268
"['Clinical Data, Demographics']",5.5447014424977645,5.30239042560641,5.047978049536476,5.150734840958667,5.046470541418788,7.091133129645511,5.046470541418788
"['Clinical Data, Demographics, General Health, Medical History']",5.688755144929905,5.187656966397552,9793.26621515089,5.05412590549164,5.141989089089993,7.269840300721156,5.05412590549164
"['Clinical Data, Demographics, General Health, Medical History, Sleep Treatment']",5.669426913092266,5.175328789439156,25674.02813721662,5.05412590549164,5.153557763836188,7.277430350209594,5.05412590549164
"['Clinical Data, General Health']",5.616726535185143,5.3528989101627165,92310767.85765626,5.05494254188131,5.212818112470776,7.466806176882166,5.05494254188131
"['Clinical Data, General Health, Sleep Treatment']",5.531238822169572,5.337727637344956,93142759.09037568,5.05494254188131,5.206564531821299,7.471680983832472,5.05494254188131
"['Clinical Data, Demographics, Sleep Treatment']",5.529826982721944,5.311016746292217,5.070347472601533,5.150734840958669,5.062875871521255,7.325175508702091,5.062875871521255
"['Demographics, General Health, Lifestyle and Behavioral Health, Sleep Treatment']",5.867609028910989,5.553394246070754,5.069139993969124,5.268276414704396,5.065223228090906,7.528584808749939,5.065223228090906
"['Clinical Data, General Health, Lifestyle and Behavioral Health, Sleep Treatment']",5.674306415561253,5.26142100763066,19014.059949381703,5.06834335842465,5.170756291541174,6.965593914053506,5.06834335842465
"['Clinical Data, General Health, Lifestyle and Behavioral Health']",5.523180743568843,5.244488554098698,8834.18682811534,5.068343358424651,5.15145190926056,6.882998227411194,5.068343358424651
"['Clinical Data, Demographics, General Health, Lifestyle and Behavioral Health, Medical History']",5.496682980763271,5.174422403345928,7587.225092614925,5.069215428324566,5.185441915927375,7.153326221891759,5.069215428324566
"['Clinical Data, Demographics, General Health, Lifestyle and Behavioral Health, Medical History, Sleep Treatment']",5.478081490564001,5.171186273052643,16201.589735526695,5.069215428324566,5.196490272514166,6.923405293152153,5.069215428324566
"['Clinical Data, General Health, Medical History, Sleep Treatment']",5.628589544181604,5.268369615437262,23862.064139717724,5.069252841839344,5.274521329572518,6.9394600337253385,5.069252841839344
"['Clinical Data, General Health, Medical History']",5.61557614264735,5.259129232660407,7776.78699190247,5.069252841839344,5.271529357917208,6.918940164764821,5.069252841839344
"['Clinical Data, General Health, Lifestyle and Behavioral Health, Medical History']",5.618529730652828,5.177145959320262,418.55121495693714,5.074165386590895,5.280689815840479,6.945102560525584,5.074165386590895
"['Clinical Data, General Health, Lifestyle and Behavioral Health, Medical History, Sleep Treatment']",5.59329028973572,5.186166996367458,3094.537522183605,5.074165386590895,5.2847111396518125,7.052821290240222,5.074165386590895
"['Clinical Data, Demographics, Lifestyle and Behavioral Health']",5.484091036319742,5.284994182828625,5.078064742916621,5.159212292083656,5.076644425471736,7.686520472543051,5.076644425471736
"['Clinical Data, Demographics, Lifestyle and Behavioral Health, Sleep Treatment']",5.508448554893269,5.315492104053505,5.098954960710627,5.159212292083656,5.091552224512269,7.5087462875503075,5.091552224512269
"['Clinical Data, Lifestyle and Behavioral Health']",5.492936494085949,5.323712608864298,5.108960825095639,5.178487626014513,5.108758030050992,7.087103162351537,5.108758030050992
"['Clinical Data, Lifestyle and Behavioral Health, Sleep Treatment']",5.628832620704414,5.312352540962924,5.112927843738977,5.178487626014513,5.110308111087632,7.027255999982534,5.110308111087632
"['Demographics, General Health']",5.820267825167839,5.551341177563949,5.117627615957395,5.25781273914227,5.1157531477788085,7.378093410284748,5.1157531477788085
"['Demographics, General Health, Sleep Treatment']",5.758491654567868,5.5708957632034135,5.138641849020533,5.25781273914227,5.133444691362875,7.203240202509717,5.133444691362875
"['Clinical Data, Demographics, Medical History']",5.4788289967031725,5.232279726423052,5.166617067032132,5.142348068160185,5.160302651263863,7.293858317054244,5.142348068160185
"['Clinical Data, Demographics, Medical History, Sleep Treatment']",5.420986345173786,5.218722840333268,5.168956829875273,5.142348068160185,5.156693227965602,7.2911789034765055,5.142348068160185
"['Demographics, Lifestyle and Behavioral Health']",5.815247794622122,5.633408528446565,5.149014841527523,5.367949391518223,5.148402923424862,6.94078000927362,5.148402923424862
"['Clinical Data, Demographics, Lifestyle and Behavioral Health, Medical History']",5.676885281630989,5.256561705635848,5.166595594252787,5.151047356236322,5.162159863034679,6.991391871405903,5.151047356236322
"['Clinical Data, Demographics, Lifestyle and Behavioral Health, Medical History, Sleep Treatment']",5.538551523025956,5.254149132336197,5.191542365845129,5.151047356236322,5.180528808794185,7.128514329619926,5.151047356236322
"['Demographics, Lifestyle and Behavioral Health, Sleep Treatment']",5.63637342999819,5.662268638347574,5.1583615856617016,5.367949391518223,5.153053760140723,6.823430524748927,5.153053760140723
"['Clinical Data, Medical History, Sleep Treatment']",5.515113191523136,5.2570396270117925,5.308883324432143,5.170433363299461,5.299282220266038,6.980257393795203,5.170433363299461
"['Clinical Data, Medical History']",5.503790830956725,5.266563037385637,5.282143976646262,5.170433363299461,5.278314280401708,6.585597636314391,5.170433363299461
['Clinical Data'],5.637231681991807,5.351562021406598,5.175652623244536,5.180492177026009,5.174901161120987,6.952039659435424,5.174901161120987
"['Clinical Data, Sleep Treatment']",5.689420922559156,5.349532633622213,5.18400360043995,5.180492177026009,5.1809124243355145,7.001867362294096,5.180492177026009
"['General Health, Lifestyle and Behavioral Health']",5.617035910338344,5.444975042995195,189021064.39773145,5.253970765608136,5.182158182975789,8.019154619934932,5.182158182975789
"['General Health, Lifestyle and Behavioral Health, Sleep Treatment']",5.627785221569953,5.476793906378757,193684566.138896,5.253970765608136,5.182782618128761,7.419208759334441,5.182782618128761
"['Clinical Data, Lifestyle and Behavioral Health, Medical History, Sleep Treatment']",5.475685133703452,5.27572081135893,5.277470961769611,5.182860313313117,5.2656778467667005,6.886870998371833,5.182860313313117
"['Clinical Data, Lifestyle and Behavioral Health, Medical History']",5.489518701414464,5.264422576968702,5.2597786587537705,5.182860313313117,5.253116005031929,7.005195575999631,5.182860313313117
['Demographics'],5.627460669416505,5.654084776143896,5.186548430289958,5.367949391518223,5.186473297676315,5.866117372176273,5.186473297676315
"['Demographics, General Health, Medical History']",5.794880846145223,5.471192868719004,5.20431674879777,5.266593954974105,5.198258676824923,7.254447803294957,5.198258676824923
"['Demographics, Sleep Treatment']",5.582963952639287,5.624438744941858,5.204570729822774,5.367949391518223,5.199112637716598,5.864689677891998,5.199112637716598
"['Demographics, General Health, Lifestyle and Behavioral Health, Medical History']",5.626748277860198,5.437445477067084,5.214748722579213,5.273102557417097,5.207211671512077,7.22049623587171,5.207211671512077
"['Demographics, General Health, Medical History, Sleep Treatment']",5.797410257433438,5.440287177606749,5.217962692847532,5.266593954974105,5.207383110981023,7.450706214531365,5.207383110981023
"['Demographics, General Health, Lifestyle and Behavioral Health, Medical History, Sleep Treatment']",5.5321568606346805,5.423712688016438,5.229897133561485,5.273102557417097,5.217756269018025,6.936645846265314,5.217756269018025
"['Demographics, Medical History']",5.662251172111868,5.621674810647352,5.238300290259675,5.36474161559885,5.233090619334193,7.495316090985178,5.233090619334193
"['Demographics, Lifestyle and Behavioral Health, Medical History']",5.758864355865377,5.565551480835014,5.241015045503951,5.366987711241991,5.2349811200648855,7.064779493233086,5.2349811200648855
"['Demographics, Lifestyle and Behavioral Health, Medical History, Sleep Treatment']",5.662584266418766,5.5325117638189925,5.261505165564737,5.366987711241991,5.247856206023911,6.99705652234465,5.247856206023911
"['Demographics, Medical History, Sleep Treatment']",5.774579476765935,5.599435272660583,5.26317051741808,5.36474161559885,5.249373236479941,7.274574930249569,5.249373236479941
['General Health'],5.962855834973073,5.726179311190983,5.250115459236811,5.249501337150902,5.249917225809781,7.397116396690991,5.249501337150902
"['General Health, Sleep Treatment']",5.99078693103278,5.666964600546388,5.253837096837185,5.249501337150902,5.2523397816769855,7.592373831585434,5.249501337150902
"['General Health, Lifestyle and Behavioral Health, Medical History']",5.8933165228078135,5.471026015620994,5.317706890685121,5.263743632151078,5.297322026918342,7.170123269112545,5.263743632151078
"['General Health, Lifestyle and Behavioral Health, Medical History, Sleep Treatment']",5.795019036761592,5.453539620964578,5.339045031499317,5.263743632151078,5.316041777351408,7.41373179280455,5.263743632151078
"['General Health, Medical History']",5.946680049320327,5.517052040204867,5.323015380941405,5.2687385896806616,5.314546365280143,7.465799506780934,5.2687385896806616
"['General Health, Medical History, Sleep Treatment']",5.924532123649352,5.475934776475217,5.324451321788138,5.268738589680663,5.3128964181129845,7.290244959796432,5.268738589680663
"['Lifestyle and Behavioral Health, Medical History']",5.81042545822639,5.560613152793031,5.281339192342879,5.380267883737909,5.275364995226073,7.520344950919815,5.275364995226073
"['Lifestyle and Behavioral Health, Medical History, Sleep Treatment']",5.740083750355692,5.560697454796432,5.301166647796788,5.380267883737909,5.288108644121704,7.514235582538868,5.288108644121704
"['Lifestyle and Behavioral Health, Sleep Treatment']",5.573356227348523,5.539712917863295,5.3174426567359605,5.386088036154395,5.307352613707249,5.696897054811583,5.307352613707249
['Lifestyle and Behavioral Health'],5.554930143211612,5.5624131787431335,5.3293724992633855,5.386088036154395,5.321086516493442,5.748698679689178,5.321086516493442
['Medical History'],5.904704215629784,5.739172365619218,5.356636306508133,5.3825300190443,5.352440623639935,6.95317906830162,5.352440623639935
"['Medical History, Sleep Treatment']",5.932602923077754,5.741940750741348,5.374322800364711,5.3825300190443,5.362272382957684,6.848880398698391,5.362272382957684
['Sleep Treatment'],5.39764475460327,5.389193230365395,5.397647202748256,5.386088036154395,5.394046441521503,5.397647202748251,5.386088036154395
