folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Anthropometry,pm212a,Neck circumference (measurement 1) (Sleep Heart Health Study Visit Two (SHHS2)),"12. Neck circumference (Round up to nearest 1/2 cm, i.e, measurement should end with .0 or .5) a. First reading:",numeric,centimeters,"",cm,"","",shhs2_physicalmeasurments_bloodpressure_ankle_armindex_ecg
Anthropometry,pm212b,Neck circumference (measurement 2) (Sleep Heart Health Study Visit Two (SHHS2)),"12. Neck circumference (Round up to nearest 1/2 cm, i.e, measurement should end with .0 or .5)  b. Second reading:",numeric,centimeters,"",cm,"","",shhs2_physicalmeasurments_bloodpressure_ankle_armindex_ecg
Anthropometry,pm212c,Neck circumference (measurement 3) (Sleep Heart Health Study Visit Two (SHHS2)),"12. Neck circumference (Round up to nearest 1/2 cm, i.e, measurement should end with .0 or .5)  c. Third reading:",numeric,centimeters,"",cm,"","",shhs2_physicalmeasurments_bloodpressure_ankle_armindex_ecg
Anthropometry,waist,Waist Circumference (Sleep Heart Health Study Visit One (SHHS1)),Waist measurement in centimeters,numeric,centimeters,"",cm,"",true,""
Anthropometry,weight,Weight (Sleep Heart Health Study Visit One (SHHS1)),The SHHS Coordinating Center bottom and top coded this variable using a lower limit of 47 kilograms and an upper limit of 126 kilograms.,numeric,kilograms,"",kg;wt,"",true,""
Anthropometry,weight20,Weight at Blood Pressure (BP) measurement (Sleep Heart Health Study Visit One (SHHS1)),The SHHS Coordinating Center bottom and top coded this variable using a lower limit of 47 kilograms and an upper limit of 126 kilograms.,numeric,kilograms,"",kg;wt,"","",shhs1_seated_bp_weight_neck_circumference_form
Anthropometry,wtprotocol,Interim Follow-up: Protocol used to measure weight,"",choices,"",protocol,interim_shhs,"","",""
Anthropometry,wtunits,Interim Follow-up: Weight units,"",choices,"",weight,interim_shhs,"","",""
Clinical Data/Adverse Events,imdbpae,Adverse Events (Sleep Heart Health Study Visit One (SHHS1)): Diastolic blood pressure (BP) > 120,Diastolic blood pressure (BP) > 120 (and not on blood pressure (BP) meds)?,choices,"",noyes01,adverse_events_form_shhs,"","",shhs1_adverse_events_form
Clinical Data/Adverse Events,imhihrae,Adverse Events (Sleep Heart Health Study Visit One (SHHS1)): Heart Rate > 150,Heart rate > 150 for > 2 minutes at rest?,choices,"",noyes01,adverse_events_form_shhs,"","",shhs1_adverse_events_form
Clinical Data/Adverse Events,imlohrae,Adverse Events (Sleep Heart Health Study Visit One (SHHS1)): Heart Rate < 30,Heart rate < 30 for > 2 minutes at rest?,choices,"",noyes01,adverse_events_form_shhs,"","",shhs1_adverse_events_form
Clinical Data/Adverse Events,imosatae,Adverse Events (Sleep Heart Health Study Visit One (SHHS1)): oxygen saturation (SaO2) < 80%,O2 saturation (SaO2) < 80% for > 2 minutes at rest?,choices,"",noyes01,adverse_events_form_shhs,"","",shhs1_adverse_events_form
Clinical Data/Adverse Events,imsbpae,Adverse Events (Sleep Heart Health Study Visit One (SHHS1)): Systolic blood pressure (BP) > 200,Systolic blood pressure (BP) > 200 (and not on blood pressure (BP) meds)?,choices,"",noyes01,adverse_events_form_shhs,"","",shhs1_adverse_events_form
Clinical Data/Adverse Events,othprbae,Adverse Events (Sleep Heart Health Study Visit One (SHHS1)): Other problem?,Other problem?,choices,"",noyes01,adverse_events_form_shhs,"","",""
Clinical Data/Adverse Events,skrctnae,Adverse Events (Sleep Heart Health Study Visit One (SHHS1)): Skin reaction?,Skin reaction?,choices,"",noyes01,rash;adverse_events_form_shhs,"","",shhs1_adverse_events_form
Clinical Data/Adverse Events,tripae,Adverse Events (Sleep Heart Health Study Visit One (SHHS1)): Tripping/falling?,Tripping/falling?,choices,"",noyes01,adverse_events_form_shhs,"","",shhs1_adverse_events_form
Clinical Data/Adverse Events,urdbpae,Adverse Events (Sleep Heart Health Study Visit One (SHHS1)): Diastolic blood pressure (BP) > 100,Diastolic blood pressure (BP) > 100 (and not on blood pressure (BP) meds)?,choices,"",noyes01,"","","",""
Clinical Data/Adverse Events,urosatae,Adverse Events (Sleep Heart Health Study Visit One (SHHS1)): oxygen saturation (SaO2) 80-85%,O2 saturation (SaO2) between 80% and 85% for > 2 minutes at rest?,choices,"",noyes01,oximetry,"","",""
Clinical Data/Adverse Events,ursbpae,Adverse Events (Sleep Heart Health Study Visit One (SHHS1)): Systolic blood pressure (BP) > 170,Systolic blood pressure (BP) > 170 (and not on blood pressure (BP) meds)?,choices,"",noyes01,"","","",""
Clinical Data/Diagnostic Studies/Electrocardiogram,afib,Atrial Fibrillation or Flutter,Minnesota (MN) code 8-3-1 or 8-3-2. Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.,choices,"",noyes01,aflutter,"","",""
Clinical Data/Diagnostic Studies/Electrocardiogram,antlatmi,Anterolateral myocardial infarction (MI),Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.,choices,"",antlatmi,heart attack,"","",""
Clinical Data/Diagnostic Studies/Electrocardiogram,antsepmi,Anteroseptal myocardial infarction (MI),Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.,choices,"",antsepmi,heart attack,"","",""
Clinical Data/Diagnostic Studies/Electrocardiogram,apbs,Atrial bypasses,Minnesota (MN) code 8-1-1. Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.,choices,"",noyes01,atrium;back,"","",""
Clinical Data/Diagnostic Studies/Electrocardiogram,av1deg,First degree atrioventricular block,Minnesota (MN) code 6-3. Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.,choices,"",noyes01,myocardial;1st,"","",""
Clinical Data/Diagnostic Studies/Electrocardiogram,av3deg,Third degree atrioventricular block,Minnesota (MN) code 6-1. Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.,choices,"",noyes01,complete,"","",""
Clinical Data/Diagnostic Studies/Electrocardiogram,ecgdate,Number of days since the baseline Polysomnography (PSG) until collected: electrocardiogram (ECG) ,Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.,numeric,days from index date,"","","","",""
Clinical Data/Diagnostic Studies/Electrocardiogram,ilbbb,Incomplete left bundle-branch block,Minnesota (MN) code 7-6. Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.,choices,"",noyes01,"","","",""
Clinical Data/Diagnostic Studies/Electrocardiogram,infmi,Inferior myocardial infarction (MI),Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.,choices,"",infmi,heart attack,"","",""
Clinical Data/Diagnostic Studies/Electrocardiogram,irbbb,Incomplete right bundle-branch block,Minnesota (MN) code 7-3. Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.,choices,"",noyes01,"","","",""
Clinical Data/Diagnostic Studies/Electrocardiogram,iventblk,Indeterminate intraventricular block pattern,Minnesota (MN) code 7-4. Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.,choices,"",noyes01,"","","",""
Clinical Data/Diagnostic Studies/Electrocardiogram,lah,Left Atrial Hypertrophy,Minnesota (MN) code 7-7. Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.,choices,"",noyes01,atrium,"","",""
Clinical Data/Diagnostic Studies/Electrocardiogram,lbbb,Left bundle-branch block,Minnesota (MN) code 7-1-1. Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.,choices,"",noyes01,"","","",""
Clinical Data/Diagnostic Studies/Electrocardiogram,lvh3_1,Left Ventricular Hypertrophy: Voltage 3-1,Minnesota (MN) code  3-1. Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.,choices,"",noyes01,"","","",""
Clinical Data/Diagnostic Studies/Electrocardiogram,lvh3_3,Left Ventricular Hypertrophy: Voltage 3-3,Minnesota (MN) code 3-3. Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.,choices,"",noyes01,"","","",""
Clinical Data/Diagnostic Studies/Electrocardiogram,lvhst,Left Ventricular Hypertrophy with ST and T-wave abnormalities,Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.,choices,"",noyes01,st-wave,"","",""
Clinical Data/Diagnostic Studies/Electrocardiogram,mob1,Mobitz Type-1 Heart Block,Second degree atrioventricular (Mobitz) type-1 heart block. Minnesota (MN) code 6-2-3. Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.,choices,"",noyes01,second-degree;2nd ,"","",""
Clinical Data/Diagnostic Studies/Electrocardiogram,mob2,Mobitz Type-2 Heart Block,Second degree atrioventricular (Mobitz) type-2 heart block. Minnesota (MN) code 6-2-1. Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.,choices,"",noyes01,second-degree;2nd ,"","",""
Clinical Data/Diagnostic Studies/Electrocardiogram,nodal,Nodal rhythm,Abnormal heart rhythm resulting from impulses from the atrioventricular node. Minnesota (MN) code 8-4-1. Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.,choices,"",noyes01,av,"","",""
Clinical Data/Diagnostic Studies/Electrocardiogram,nonsp_st,Nonspecific ST wave abnormalty,Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.,choices,"",nonsp_st,stwave,"","",""
Clinical Data/Diagnostic Studies/Electrocardiogram,nonsp_tw,Nonspecific T wave abnormalty,Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.,choices,"",nonsp_tw,twave,"","",""
Clinical Data/Diagnostic Studies/Electrocardiogram,paced,Paced rate,Minnesota (MN) code 6-8. Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.,choices,"",noyes01,pacemaker,"","",""
Clinical Data/Diagnostic Studies/Electrocardiogram,part2deg,Partial second degree atrioventricular block,Minnesota (MN) code 6-2-2. Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.,choices,"",noyes01,mobitz;av;second-degree;2nd,"","",""
Clinical Data/Diagnostic Studies/Electrocardiogram,qrs,QRS Axis,Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.,numeric,millimeters,"",mm ,"","",""
Clinical Data/Diagnostic Studies/Electrocardiogram,rbbb,Right bundle-branch block,Minnesota (MN) code 7-2-1. Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.,choices,"",noyes01,"","","",""
Clinical Data/Diagnostic Studies/Electrocardiogram,rtrial,Right Atrial Enlargement,Minnesota (MN) code 9-3. Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.,choices,"",noyes01,atrium;rae,"","",""
Clinical Data/Diagnostic Studies/Electrocardiogram,rvh,Right Ventricular Hypertrophy,Minnesota (MN) code 3-2. Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.,choices,"",noyes01,"","","",""
Clinical Data/Diagnostic Studies/Electrocardiogram,st4_1_3,ST and T-wave 4-1 to 4-3,Minnesota (MN) code  4-1 to 4-3. Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.,choices,"",noyes01,st-wave,"","",""
Clinical Data/Diagnostic Studies/Electrocardiogram,st5_1_3,ST and T-wave 5-1 to 5-3,Minnesota (MN) code  5-1 to 5-3. Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.,choices,"",noyes01,st-wave,"","",""
Clinical Data/Diagnostic Studies/Electrocardiogram,truposmi,True posterior myocardial infarction (MI),Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.,choices,"",yesnod2,heart attack,"","",""
Clinical Data/Diagnostic Studies/Electrocardiogram,ventrate,Ventricular rate,Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.,numeric,beats per minute,"","","","",""
Clinical Data/Diagnostic Studies/Electrocardiogram,vpbs,Ventricular bypasses,Minnesota (MN) code 8-1-2. Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.,choices,"",noyes01,"","","",""
Clinical Data/Diagnostic Studies/Electrocardiogram,wpw,Wolff-Parkinson-White Syndrome,Minnesota (MN) code 6-4-1. Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.,choices,"",noyes01,"","","",""
Clinical Data/Diagnostic Studies/Heart Rate Variability,avnn,Mean of all normal sinus to normal sinus interbeat intervals (NN) ,"",numeric,milliseconds,"",ms;heart rate variability,"","",""
Clinical Data/Diagnostic Studies/Heart Rate Variability,event01end,Respiratory event (01) end time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
Clinical Data/Diagnostic Studies/Heart Rate Variability,event01start,Respiratory event (01) start time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
Clinical Data/Diagnostic Studies/Heart Rate Variability,event02end,Respiratory event (02) end time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
Clinical Data/Diagnostic Studies/Heart Rate Variability,event02start,Respiratory event (02) start time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
Clinical Data/Diagnostic Studies/Heart Rate Variability,event03end,Respiratory event (03) end time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
Clinical Data/Diagnostic Studies/Heart Rate Variability,event03start,Respiratory event (03) start time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
Clinical Data/Diagnostic Studies/Heart Rate Variability,event04end,Respiratory event (04) end time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
Clinical Data/Diagnostic Studies/Heart Rate Variability,event04start,Respiratory event (04) start time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
Clinical Data/Diagnostic Studies/Heart Rate Variability,event05end,Respiratory event (05) end time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
Clinical Data/Diagnostic Studies/Heart Rate Variability,event05start,Respiratory event (05) start time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
Clinical Data/Diagnostic Studies/Heart Rate Variability,event06end,Respiratory event (06) end time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
Clinical Data/Diagnostic Studies/Heart Rate Variability,event06start,Respiratory event (06) start time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
Clinical Data/Diagnostic Studies/Heart Rate Variability,event07end,Respiratory event (07) end time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
Clinical Data/Diagnostic Studies/Heart Rate Variability,event07start,Respiratory event (07) start time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
Clinical Data/Diagnostic Studies/Heart Rate Variability,event08end,Respiratory event (08) end time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
Clinical Data/Diagnostic Studies/Heart Rate Variability,event08start,Respiratory event (08) start time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
