File,Model,F1 Test,F1 Validation,Confusion Matrix,False Negative
ahic0h4_threshold_5.csv,"LogisticRegression(C=0.1, class_weight='balanced', random_state=1)",0.6415601224183779,0.680426959306046,"[[415 244]
 [228 430]]",244
ahic0h4_threshold_5.csv,"RandomForestClassifier(bootstrap=False, class_weight='balanced', max_depth=76,
                       min_samples_split=5, n_estimators=348, random_state=1)",0.9848126051814976,0.978866707587853,"[[655   4]
 [ 16 642]]",4
ahic0h4_threshold_5.csv,"DecisionTreeClassifier(class_weight='balanced', criterion='entropy',
                       max_depth=50, min_samples_leaf=2, random_state=1)",0.9612721432630285,0.9414491561674068,"[[627  32]
 [ 19 639]]",32
ahic0h4_threshold_5.csv,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=0.5, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.3, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=40, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=244, n_jobs=None,
              num_parallel_tree=None, random_state=1, ...)",0.9848126051814976,0.978866707587853,"[[655   4]
 [ 16 642]]",4
ahic0h4_threshold_4.csv,"LogisticRegression(C=0.001, class_weight='balanced', random_state=1)",0.6703558421619421,0.6825424014298187,"[[525 251]
 [254 502]]",251
ahic0h4_threshold_4.csv,"RandomForestClassifier(bootstrap=False, class_weight='balanced', max_depth=90,
                       min_samples_leaf=2, min_samples_split=5,
                       n_estimators=666, random_state=1)",0.9862899215014008,0.9888129010348964,"[[772   4]
 [ 17 739]]",4
ahic0h4_threshold_4.csv,"DecisionTreeClassifier(class_weight='balanced', criterion='entropy',
                       max_depth=50, min_samples_split=10, random_state=1)",0.954962735407551,0.9509813472167079,"[[737  39]
 [ 30 726]]",39
ahic0h4_threshold_4.csv,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=0.9, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.2, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=60, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=260, n_jobs=None,
              num_parallel_tree=None, random_state=1, ...)",0.9849829193383401,0.9874135753870852,"[[773   3]
 [ 20 736]]",3
ahic0h4_threshold_9.csv,"LogisticRegression(C=100, class_weight='balanced', random_state=1)",0.6620524770014943,0.6353739503029893,"[[232 130]
 [122 262]]",130
ahic0h4_threshold_9.csv,"RandomForestClassifier(class_weight='balanced', max_depth=33, n_estimators=786,
                       random_state=1)",0.9839174475546314,0.9856289612203245,"[[360   2]
 [ 10 374]]",2
ahic0h4_threshold_9.csv,"DecisionTreeClassifier(class_weight='balanced', criterion='entropy',
                       max_depth=50, min_samples_split=10, random_state=1)",0.9504129308871666,0.9683973636651324,"[[349  13]
 [ 24 360]]",13
ahic0h4_threshold_9.csv,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=0.7, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.01, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=70, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=758, n_jobs=None,
              num_parallel_tree=None, random_state=1, ...)",0.9785559802931276,0.988500397407679,"[[357   5]
 [ 11 373]]",5
ahic0h4_threshold_8.csv,"LogisticRegression(C=0.1, class_weight='balanced', random_state=1)",0.6417693392746626,0.5798377291432846,"[[250 172]
 [131 295]]",172
ahic0h4_threshold_8.csv,"RandomForestClassifier(bootstrap=False, class_weight='balanced', max_depth=90,
                       min_samples_split=5, n_estimators=292, random_state=1)",0.9775936853017689,0.9823056525279745,"[[416   6]
 [ 13 413]]",6
ahic0h4_threshold_8.csv,"DecisionTreeClassifier(class_weight='balanced', criterion='entropy',
                       max_depth=50, min_samples_leaf=2, random_state=1)",0.9575471698113207,0.9621000840266749,"[[404  18]
 [ 18 408]]",18
ahic0h4_threshold_8.csv,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=0.8, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.3, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=20, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=413, n_jobs=None,
              num_parallel_tree=None, random_state=1, ...)",0.9775944330960119,0.9772687958987907,"[[414   8]
 [ 11 415]]",8
